protein	1.0105	0.20162	0.74268	0.67632	1.7799	1.7606	1.5616	-1.3663	1.5361	1.0018	1.0947	-0.13998	0.1694	0.90419	-0.4675	0.71016	-0.40165	0.14637	0.16859	0.57705	0.18143	-1.4972	2.6346	0.80667	-0.39974	0.23169	0.11142	0.21533	0.83184	-0.21805	1.9804	-0.2726	0.20391	-0.60179	1.098	-0.015921	0.52545	1.1012	0.76725	1.7808	-0.021315	-0.68267	-0.82121	0.086806	0.57399	0.79363	0.70141	0.24996	0.55307	0.62865
organism	1.644	-0.54485	-0.19385	0.30386	1.363	1.5469	0.82602	-0.95991	1.3099	0.75067	1.4778	0.172	0.95844	0.88322	0.11877	0.26283	0.026054	0.3757	0.10496	0.14202	-1.0484	-1.0122	0.55762	0.17163	0.95605	-0.033763	-0.214	-0.30986	0.8138	0.51445	1.1104	-0.96421	-0.30474	-1.4504	-0.34243	0.070201	-0.11971	0.69359	0.2702	0.25298	-0.4874	-0.85919	-0.22389	0.82898	0.43569	0.49897	0.90324	-0.6552	0.017589	0.35146
topics/chemistry.txt	0.769093	0.529707	0.537338	-0.083299	0.157976	0.916825	0.978805	-0.328394	-0.0279122	1.52347	1.07196	0.267882	0.222647	0.731425	-0.518915	0.604202	0.461564	0.44503	-0.508238	-0.708193	0.488575	-0.641704	0.536152	-0.039453	-0.513189	0.013857	0.527538	0.5389	0.451114	0.587064	1.2449	-0.513124	0.0566878	-0.511114	0.534186	0.00489026	0.13034	-0.223514	0.527845	0.625523	0.419052	-0.250007	-0.119982	0.157551	0.584397	-0.372514	0.386895	0.253739	0.21576	-0.406649
acid	0.9009	-0.60531	-0.66085	-0.6966	-0.33301	1.5834	1.4175	-0.13336	0.75595	1.9965	1.0266	0.27829	0.22465	-0.73563	-0.68329	0.61814	1.1697	0.087963	0.018513	-0.87816	0.19583	-0.29492	2.1029	0.55538	-0.59372	0.1515	0.089391	0.90357	0.13015	0.35314	2.4369	-1.2839	0.29306	-0.1389	1.7339	0.24735	0.40881	-0.89665	1.4681	0.57123	0.47125	-0.23574	-0.5416	-0.55583	1.1156	0.24911	0.73782	-0.050326	0.65584	-0.38483
proton	1.3538	0.45739	1.7245	1.1506	0.28336	0.1183	0.77116	-0.52147	0.077814	1.3509	1.79	0.15357	-1.1799	0.76619	-0.46428	1.2494	-0.25908	1.6357	-0.67237	-0.18355	0.32808	-0.51696	-0.32574	-0.40726	-0.32659	-0.17833	0.53983	0.073299	-0.48303	0.95459	0.73043	0.60707	-0.14065	0.68626	0.15897	-0.33126	0.24806	0.21801	-0.026579	0.40857	0.34838	-0.54025	-0.95278	0.0073359	1.0352	-0.82223	-0.0398	0.38664	0.26652	-0.57474
neutron	0.5755	1.0056	1.5079	-0.13799	0.23879	0.70112	0.74417	-0.2006	0.83568	1.5638	0.82437	0.091343	0.17625	1.8179	-0.70548	0.66218	0.75908	0.45785	-0.9569	-0.4965	-0.10042	-0.34193	0.72081	-0.21327	0.33259	0.30852	0.18981	0.33918	0.6543	0.78063	0.51419	-1.0256	-0.43583	-1.0121	0.55013	0.68561	0.43204	0.032534	0.59089	0.87924	0.35536	0.70427	-1.3676	-0.11307	0.69342	-0.14802	0.98199	0.30353	-0.7467	-0.15469
electron	1.1658	0.30361	1.783	0.51786	0.75527	0.82576	2.0967	-0.3083	-0.044606	1.5747	1.1862	-0.16842	0.22782	1.2434	-1.4794	0.55848	-0.21645	0.66614	-1.5236	-1.0513	1.2238	-0.54034	0.19478	-0.45298	0.042204	-0.31201	0.17892	-0.26871	-0.60788	-0.087012	1.1539	-0.38444	0.1692	-1.026	-0.0077172	-1.2197	0.75239	0.12542	0.20381	0.5145	0.53583	-0.31386	-0.41705	0.98646	0.3244	-0.89517	0.79843	-0.41032	-0.062033	-0.18925
phenol	1.1008	-0.7184	-0.6936	-0.1325	-0.40785	0.43114	0.70734	-0.58346	-0.33144	1.5857	1.3897	0.24933	0.47632	-0.44617	0.019067	0.23824	0.67019	0.20857	-0.38079	-0.27251	0.019509	-0.60011	0.12217	0.10243	-1.1134	0.90403	0.60139	1.2982	0.5715	0.032922	0.0033676	-0.78589	0.076038	0.00033513	0.34185	0.62556	0.24043	-0.60511	0.84714	0.60394	0.99499	-0.10928	0.4226	-0.58132	0.90822	-0.14586	0.21377	1.0498	0.91019	-0.82957
alcohol	-0.55204	-0.27756	-0.77571	-0.7338	-0.31033	1.3552	0.094901	-0.50057	1.3001	1.6229	0.9734	-0.34555	0.56112	-0.75714	1.1654	0.291	-0.71868	0.3652	-0.097133	-0.88939	0.76108	0.41079	1.0503	0.89865	-0.89094	-1.4978	0.63349	0.21739	1.2996	0.60376	2.0146	0.5042	-0.41384	-0.75703	0.61193	-0.095683	-0.16715	0.0073518	1.0113	0.96521	-0.011456	0.41148	0.3263	1.1399	0.67236	-0.38587	-0.37075	0.14582	0.74933	-0.051442
covalent	0.89198	1.5832	-0.15951	0.4926	1.0496	1.7122	0.86112	0.23593	-1.354	1.5411	0.92211	1.183	0.13172	1.9099	-0.86308	0.57286	0.8288	-0.60306	-0.19702	0.24118	0.3918	-1.1608	-0.40125	0.16145	-1.0154	0.80624	1.5574	0.10721	0.99412	0.29351	0.52499	-1.0718	0.75958	-0.3814	0.75615	-0.3167	-0.71355	-0.83475	-0.023727	0.45878	-0.14223	-0.9691	0.29999	1.01	0.35191	-1.7448	1.0451	0.54238	-0.15064	-0.0013189
ionic	0.79803	1.7658	-0.41375	-0.30822	0.83521	-0.037172	1.4822	0.19763	-1.837	0.60374	0.31567	1.1292	0.87373	1.0997	-1.5678	0.08686	0.26409	-0.20068	-0.52356	-1.0603	0.15434	-0.9995	-0.14313	-0.3903	-0.64639	0.82497	0.96739	0.96444	0.2378	1.1582	1.4087	-0.41265	1.0692	-0.2121	0.14074	0.64046	-0.27831	-0.71905	-0.28109	0.97529	1.4455	0.031561	0.058804	0.74873	0.044132	-0.20731	0.32831	0.5717	-0.17718	-1.0433
carbon	0.17686	0.87444	1.2914	-0.6437	-0.39458	1.0035	0.87036	-1.3345	0.7867	1.2488	0.85351	0.0091923	0.39408	1.0672	0.066767	0.89117	1.3838	0.38502	-0.10261	-1.3723	0.81683	-1.4755	0.83518	-0.81497	-0.70624	-0.66065	0.15819	0.85705	0.55978	0.6783	2.0496	-0.72016	-0.38198	-1.1333	0.14834	-0.17904	0.31626	0.26273	0.83067	0.265	-0.555	-0.78036	1.1623	-0.41912	0.22041	0.22503	-0.097236	-0.35889	0.36076	-0.31111
hydrogen	1.2793	0.9083	1.77	-0.34124	-0.1367	1.4748	0.7426	-0.13524	-0.46832	2.1466	1.438	0.09886	0.34068	1.3489	-0.67705	0.87369	0.73419	1.4476	-0.64691	-1.1191	1.0949	-0.89777	1.2055	0.16634	-0.214	-0.2079	0.35957	0.89737	1.1548	1.1026	1.6123	-0.55807	-0.4279	-1.1369	0.90757	-0.0076944	0.064419	0.17437	0.65794	0.61347	0.7479	-0.69879	-0.19078	-0.64758	0.47832	0.14998	0.27132	0.35706	0.35151	-0.52624
topics/biochemistry.txt	0.913356	-0.065358	0.256394	0.136807	0.647683	0.977623	1.28944	-0.36878	1.28923	1.03548	1.25708	-0.201184	0.140749	0.608752	-0.53091	0.650931	0.0343263	0.13271	0.0825209	-0.207612	-0.0052946	-0.668019	1.08656	0.362949	-0.29846	-0.105341	0.300368	0.302671	0.068788	-0.135569	1.53257	-0.458264	0.144595	-0.709256	0.450561	0.107508	0.503975	0.377387	0.494931	0.651183	0.293896	-0.461907	-0.566947	0.307773	0.576924	-0.044539	0.962509	-0.369771	-0.2961	-0.0616454
